0, 0.000000000, 1, 1.000000000
2, 0.020000000, 1, 1.000000000
2, 0.020000000, 3, 1.019200000
4, 0.040384000, 5, 1.037584640
6, 0.061135693, 7, 1.055139212
8, 0.082238477, 9, 1.071849673
10, 0.103675470, 11, 1.087702654
12, 0.125429523, 13, 1.102685473
14, 0.147483232, 15, 1.116786144
16, 0.169818955, 17, 1.129993386
18, 0.192418823, 19, 1.142296633
20, 0.215264756, 21, 1.153686043
22, 0.238338477, 23, 1.164152504
24, 0.261621527, 25, 1.173687643
26, 0.285095280, 27, 1.182283832
28, 0.308740957, 29, 1.189934194
30, 0.332539641, 31, 1.196632608
32, 0.356472293, 33, 1.202373716
34, 0.380519767, 35, 1.207152925
36, 0.404662825, 37, 1.210966412
38, 0.428882153, 39, 1.213811126
40, 0.453158376, 41, 1.215684791
42, 0.477472072, 43, 1.216585908
44, 0.501803790, 45, 1.216513756
46, 0.526134065, 47, 1.215468393
48, 0.550443433, 49, 1.213450656
50, 0.574712446, 51, 1.210462158
52, 0.598921689, 53, 1.206505290
54, 0.623051795, 55, 1.201583218
56, 0.647083459, 57, 1.195699880
58, 0.670997457, 59, 1.188859982
60, 0.694774657, 61, 1.181068996
62, 0.718396037, 63, 1.172333155
64, 0.741842700, 65, 1.162659447
66, 0.765095889, 67, 1.152055611
68, 0.788137001, 69, 1.140530131
70, 0.810947604, 71, 1.128092227
72, 0.833509449, 73, 1.114751849
74, 0.855804486, 75, 1.100519670
76, 0.877814879, 77, 1.085407075
78, 0.899523021, 79, 1.069426154
80, 0.920911544, 81, 1.052589692
82, 0.941963338, 83, 1.034911158
84, 0.962661561, 85, 1.016404696
86, 0.982989655, 87, 0.997085110
88, 1.002931357, 89, 0.976967856
90, 1.022470714, 91, 0.956069027
92, 1.041592095, 93, 0.934405343
94, 1.060280202, 95, 0.911994135
96, 1.078520085, 97, 0.888853332
98, 1.096297152, 99, 0.865001446
100, 1.113597181, 101, 0.840457559
102, 1.130406332, 103, 0.815241306
104, 1.146711158, 105, 0.789372860
106, 1.162498615, 107, 0.762872915
108, 1.177756073, 109, 0.735762672
110, 1.192471326, 111, 0.708063819
112, 1.206632602, 113, 0.679798515
114, 1.220228572, 115, 0.650989372
116, 1.233248359, 117, 0.621659438
118, 1.245681548, 119, 0.591832176
120, 1.257518192, 121, 0.561531448
122, 1.268748821, 123, 0.530781495
124, 1.279364451, 125, 0.499606917
126, 1.289356589, 127, 0.468032653
128, 1.298717242, 129, 0.436083963
130, 1.307438921, 131, 0.403786406
132, 1.315514649, 133, 0.371165820
134, 1.322937965, 135, 0.338248301
136, 1.329702931, 137, 0.305060184
138, 1.335804135, 139, 0.271628019
140, 1.341236695, 141, 0.237978551
142, 1.345996266, 143, 0.204138700
144, 1.350079040, 145, 0.170135538
146, 1.353481751, 147, 0.135996268
148, 1.356201676, 149, 0.101748201
150, 1.358236640, 151, 0.067418735
152, 1.359585015, 153, 0.033035334
154, 1.360245722, 155, -0.001374495
156, 1.360218232, 157, -0.035783224
158, 1.359502568, 159, -0.070163327
160, 1.358099301, 161, -0.104487299
162, 1.356009555, 163, -0.138727681
164, 1.353235001, 165, -0.172857081
166, 1.349777859, 167, -0.206848195
168, 1.345640895, 169, -0.240673831
170, 1.340827418, 171, -0.274306928
172, 1.335341279, 173, -0.307720579
174, 1.329186867, 175, -0.340888054
176, 1.322369106, 177, -0.373782818
178, 1.314893450, 179, -0.406378556
180, 1.306765879, 181, -0.438649191
182, 1.297992895, 183, -0.470568907
184, 1.288581517, 185, -0.502112168
186, 1.278539274, 187, -0.533253739
